D
2020-01-27,Q,BBSE3
2011-10-17,Q,TOTS3
2010-03-15,Q,CYRE3
2010-01-19,Q,ABEV3
2010-01-29,Q,ABEV3
2010-01-19,Q,B3SA3
2010-01-22,Q,ABEV3
2020-01-27,Q,BBSE3
2011-10-17,Q,TOTS3
2010-03-15,Q,CYRE3
2010-01-19,Q,ABEV3
2010-01-29,Q,ABEV3
2010-01-19,Q,B3SA3
2010-01-22,Q,ABEV3
2020-01-27,Q,BBSE3
2011-10-17,Q,TOTS3
2010-03-15,Q,CYRE3
2010-01-19,Q,ABEV3
2010-01-29,Q,ABEV3
2010-01-19,Q,B3SA3
2010-01-22,Q,ABEV3
2020-01-27,Q,BBSE3
2011-10-17,Q,TOTS3
2010-03-15,Q,CYRE3
2010-01-19,Q,ABEV3
2010-01-29,Q,ABEV3
2010-01-19,Q,B3SA3
2010-01-22,Q,ABEV3
2020-01-27,Q,BBSE3
2011-10-17,Q,TOTS3
2010-03-15,Q,CYRE3
2010-01-19,Q,ABEV3
2010-01-29,Q,ABEV3
2010-01-19,Q,B3SA3
2010-01-22,Q,ABEV3
2020-01-27,Q,BBSE3
2011-10-17,Q,TOTS3
2010-03-15,Q,CYRE3
2010-01-19,Q,ABEV3
2010-01-29,Q,ABEV3
2010-01-19,Q,B3SA3
2010-01-22,Q,ABEV3
2020-01-27,Q,BBSE3
2011-10-17,Q,TOTS3
2010-03-15,Q,CYRE3
2010-01-19,Q,ABEV3
2010-01-29,Q,ABEV3
2010-01-19,Q,B3SA3
2010-01-22,Q,ABEV3
2020-01-27,Q,BBSE3
2011-10-17,Q,TOTS3
2010-03-15,Q,CYRE3
2010-01-19,Q,ABEV3
